V;A4 ac+rod becker 30s;C3 ac+rod becker 30s;D2 ac+rod becker 30s;E5 ac+rod becker 30s
0,130767;45,3147;47,2557;44,271;46,6056
0,132764;47,5944;49,6452;46,7247;48,9494
0,13476;49,5903;51,7784;48,8945;51,0277
0,136757;51,8608;54,1772;51,3481;53,3806
0,138753;54,1131;56,5118;53,7194;55,7061
0,14075;56,466;58,9929;56,2554;58,1506
0,142746;58,9929;61,6663;58,9837;60,7782
0,144743;61,4374;64,2298;61,593;63,3051
0,146739;64,0192;66,949;64,3305;65,9602
0,148736;66,656;69,7139;67,1504;68,6976
0,150732;69,247;72,4422;69,9336;71,3802
0,152728;72,076;75,4086;72,9732;74,3282
0,154725;74,8592;78,3474;75,9304;77,2396
0,156721;77,8073;81,4511;79,0616;80,2792
0,158718;80,618;84,3809;82,0371;83,1998
0,160714;83,566;87,4846;85,1865;86,2577
0,162711;86,688;90,7622;88,51;89,5171
0,164707;89,8466;94,0764;91,87;92,7764
