Potencial (V),Paciente J (1),Paciente J (2),Paciente J (3),Paciente K (1),Paciente K (2),Paciente K (3),Paciente L (1),Paciente L (2),Paciente L (3),Paciente M (1),Paciente M (2),Paciente M (3),Paciente N (1),Paciente N (2),Paciente N (3),Paciente O (1),Paciente O (2),Paciente O (3),Paciente P (1),Paciente P (2),Paciente P (3),Paciente Q (1),Paciente Q (2),Paciente Q (3),Paciente R (1),Paciente R (2),Paciente S (1),Paciente S (2),Paciente S (3)
"0,766074180603027","141,267776489258","142,705297470093","143,31157207489","146,09911441803","144,980335235596","149,436664581299","148,730397224426","168,533802032471","149,892926216126","156,908750534058","155,211758613586","165,03381729126","146,892881393433","148,599147796631","155,918002128601","144,305324554443","157,283544540405","164,846181869507","174,596309661865","106,598496437073","155,367994308472","156,221151351929","163,158655166626","163,221120834351","187,283992767334","169,408798217773","149,792909622192","158,158540725708","158,47110748291"
"0,768074035644531","141,949033737183","143,417811393738","144,117832183838","146,861624717712","145,680356025696","150,074172019959","149,417901039124","169,908761978149","150,611686706543","157,721042633057","155,905508995056","165,59624671936","147,524118423462","149,386668205261","156,533718109131","144,955348968506","158,221244812012","165,908813476563","175,78387260437","107,067251205444","156,274271011353","156,971216201782","163,721323013306","164,158821105957","188,096523284912","170,346260070801","150,467920303345","158,908605575562","159,346103668213"
"0,770074367523193","142,724061012268","144,192838668823","144,911599159241","147,60537147522","146,367859840393","150,849175453186","150,324177742004","170,408725738525","151,505446434021","159,096240997314","156,221151351929","166,408777236938","148,317885398865","150,130414962769","157,283544540405","145,661592483521","158,908605575562","167,221307754517","177,0339012146","107,661008834839","156,846046447754","157,721042633057","163,971185684204","164,908647537231","189,346551895142","171,096324920654","151,155424118042","159,846067428589","160,158634185791"
"0,772074222564697","143,430328369141","144,936585426331","145,730352401733","148,255395889282","147,086620330811","151,505446434021","151,092934608459","171,908855438232","152,261710166931","159,908771514893","156,846046447754","167,471408843994","148,992896080017","150,880432128906","158,158540725708","146,367859840393","159,971237182617","168,033838272095","178,034067153931","108,198523521423","157,346248626709","158,346176147461","164,908647537231","165,59624671936","190,096616744995","171,846389770508","151,88045501709","160,658597946167","161,158800125122"
"0,774074077606201","144,211578369141","145,774102210999","146,536612510681","149,08664226532","147,774124145508","152,249193191528","151,930451393127","172,84631729126","153,136706352234","160,658597946167","158,283710479736","168,971300125122","149,749159812927","151,692938804626","159,096240997314","147,049117088318","161,096096038818","169,283866882324","179,096460342407","108,811044692993","158,346176147461","158,783674240112","165,846347808838","166,408777236938","191,096544265747","172,346353530884","152,63671875","161,283731460571","161,908626556396"
"0,776074409484863","144,917845726013","146,486616134644","147,374129295349","149,780416488647","148,44913482666","153,017973899841","152,730464935303","173,658847808838","153,892970085144","161,53359413147","159,158706665039","169,471263885498","150,361680984497","152,461695671082","159,908771514893","147,69914150238","162,033796310425","170,221328735352","180,284023284912","109,342288970947","159,221172332764","159,783601760864","166,408777236938","167,096376419067","191,971778869629","173,471450805664","153,29921245575","161,908626556396","162,096261978149"
"0,778074264526367","145,699095726013","147,286629676819","148,167896270752","150,536680221558","149,186658859253","153,755474090576","153,580474853516","174,596309661865","154,786729812622","162,283658981323","159,971237182617","170,158863067627","151,136684417725","153,192973136902","160,158634185791","148,405385017395","162,721157073975","171,471357345581","181,534051895142","109,911060333252","160,096168518066","160,408735275269","167,283773422241","167,721271514893","192,784070968628","173,846483230591","154,011726379395","162,783622741699","162,783622741699"
"0,780074596405029","146,405363082886","148,067879676819","148,949146270752","151,317930221558","149,836659431458","154,392981529236","154,374241828918","175,971508026123","155,542993545532","162,783622741699","160,721302032471","171,03385925293","151,874208450317","153,992986679077","161,658763885498","149,142909049988","163,721323013306","172,533988952637","183,221578598022","110,554814338684","161,53359413147","161,033630371094","167,658805847168","168,533802032471","193,846702575684","175,22144317627","154,649233818054","163,90872001648","163,658618927002"
"0,782074451446533","147,242879867554","148,874139785767","149,880409240723","152,02419757843","150,636672973633","155,261754989624","155,205488204956","177,158832550049","155,846118927002","164,033651351929","161,658763885498","172,471284866333","152,580451965332","154,793000221252","161,971092224121","149,892926216126","164,221286773682","173,283815383911","184,409141540527","111,179828643799","162,283658981323","161,721229553223","168,65873336792","169,346332550049","194,22173500061","175,596475601196","155,474257469177","164,221286773682","165,03381729126"
"0,784074306488037","147,930383682251","149,64292049408","150,63042640686","152,805471420288","151,417946815491","155,961751937866","155,974268913269","177,908897399902","157,096147537231","164,783716201782","162,283658981323","172,908782958984","153,261709213257","155,50549030304","163,096189498901","150,567936897278","165,158748626709","174,908876419067","185,596466064453","111,654829978943","163,158655166626","162,471294403076","168,846368789673","169,846296310425","195,096731185913","176,90896987915","155,471086502075","165,096282958984","165,783882141113"
