Potencial (V),Negativo,"0,6 ng. mL-1","1,0 ng. mL-1","1,2 ng. mL-1","2,0 ng. mL-1","2,5 ng. mL-1","4,0 ng. mL-1","5,0 ng. mL-1","10,0 ng. mL-1","20,0 ng. mL-1"
"-0,220454","-15,0217","-16,8961","-16,2725","-15,4498","-19,9759","-16,5991","-16,9386","-19,5907","-21,599","-22,6158"
"-0,218458","-14,9141","-16,807","-16,1384","-15,3211","-19,846","-16,4766","-16,8684","-19,472","-21,467","-22,4973"
"-0,216461","-14,7618","-16,6128","-15,9859","-15,1578","-19,7223","-16,3405","-16,6891","-19,3408","-21,3464","-22,3617"
"-0,214465","-14,679","-16,5311","-15,9488","-15,1157","-19,6336","-16,2787","-16,6189","-19,2604","-21,2841","-22,2952"
"-0,212468","-14,5033","-16,3616","-15,7982","-14,9388","-19,4584","-16,0882","-16,487","-19,0736","-21,0884","-22,1045"
"-0,210472","-14,4155","-16,2911","-15,6663","-14,867","-19,3511","-15,9731","-16,4189","-18,9524","-20,967","-21,9823"
"-0,208475","-14,2967","-16,1983","-15,522","-14,7284","-19,2047","-15,837","-16,3405","-18,8199","-20,8255","-21,857"
"-0,206479","-14,1272","-15,9892","-15,3632","-14,5466","-19,0707","-15,6898","-16,155","-18,6839","-20,691","-21,7111"
"-0,204483","-14,0356","-15,8902","-15,2951","-14,4996","-18,9738","-15,6081","-16,0663","-18,5874","-20,6149","-21,6328"
"-0,202486","-13,8884","-15,7516","-15,1879","-14,3585","-18,8232","-15,4473","-15,9694","-18,4327","-20,4576","-21,4755"
"-0,20049","-13,787","-15,6551","-15,0332","-14,262","-18,7016","-15,3174","-15,8786","-18,2867","-20,3216","-21,3317"
"-0,198493","-13,6731","-15,5722","-14,8889","-14,1322","-18,5572","-15,1751","-15,8044","-18,1494","-20,1914","-21,2105"
"-0,196497","-13,4751","-15,3285","-14,6909","-13,9168","-18,3943","-14,9957","-15,59","-17,9761","-20,0297","-21,0322"
"-0,1945","-13,422","-15,2654","-14,6786","-13,9119","-18,3407","-14,9734","-15,5446","-17,9316","-20,0036","-20,9977"
"-0,192504","-13,2661","-15,1157","-14,5569","-13,7498","-18,1861","-14,799","-15,4395","-17,7572","-19,8388","-20,827"
"-0,190507","-13,1424","-14,9982","-14,3878","-13,636","-18,0479","-14,6543","-15,3322","-17,5964","-19,6893","-20,6693"
"-0,188511","-13,031","-14,9141","-14,2455","-13,4999","-17,8995","-14,5157","-15,2621","-17,4528","-19,5511","-20,5404"
"-0,186514","-12,8726","-14,7198","-14,0826","-13,3205","-17,7799","-14,3709","-15,0993","-17,3155","-19,4284","-20,4018"
"-0,184518","-12,7699","-14,5986","-14,0084","-13,2586","-17,6789","-14,288","-14,9961","-17,2103","-19,3542","-20,3161"
"-0,182522","-12,6215","-14,4538","-13,9011","-13,109","-17,5242","-14,1247","-14,8992","-17,0458","-19,1994","-20,1589"
"-0,180525","-12,478","-14,3177","-13,7239","-12,9728","-17,3757","-13,9589","-14,7837","-16,8626","-19,0344","-19,9868"
"-0,178529","-12,3939","-14,2608","-13,6043","-12,8826","-17,2582","-13,8513","-14,7445","-16,7451","-18,9286","-19,8878"
"-0,176532","-12,2367","-14,0616","-13,4455","-12,6932","-17,1303","-13,7028","-14,5837","-16,6016","-18,803","-19,7455"
"-0,174536","-12,1142","-13,9131","-13,3527","-12,6091","-17,0128","-13,6026","-14,4641","-16,4791","-18,7055","-19,6357"
"-0,17254","-11,9459","-13,7498","-13,231","-12,4421","-16,8478","-13,4257","-14,3528","-16,2947","-18,5335","-19,4609"
"-0,170543","-11,8408","-13,6409","-13,0867","-12,3468","-16,7324","-13,3007","-14,2703","-16,1401","-18,4009","-19,3202"
"-0,168546","-11,7195","-13,5519","-12,9382","-12,2194","-16,5839","-13,1597","-14,2043","-15,9793","-18,2504","-19,1872"
"-0,16655","-11,5649","-13,3675","-12,7897","-12,0363","-16,4601","-13,0174","-14,0517","-15,8407","-18,1245","-19,0444"
"-0,164553","-11,4041","-13,177","-12,6516","-11,9076","-16,3076","-12,8739","-13,8826","-15,6725","-17,9824","-18,8893"
"-0,162557","-11,2717","-13,0532","-12,5588","-11,7789","-16,1715","-12,7316","-13,8043","-15,5104","-17,8479","-18,7464"
"-0,160561","-11,1517","-12,9382","-12,4186","-11,6738","-16,0519","-12,598","-13,7094","-15,3495","-17,7036","-18,5846"
"-0,158564","-11,023","-12,8393","-12,2516","-11,534","-15,889","-12,4384","-13,6269","-15,1664","-17,5326","-18,4243"
"-0,156568","-10,872","-12,6549","-12,0948","-11,3533","-15,7611","-12,2862","-13,4764","-15,013","-17,4048","-18,2727"
"-0,154571","-10,7335","-12,4941","-12,002","-11,2605","-15,6498","-12,186","-13,3424","-14,8856","-17,3015","-18,1516"
"-0,152575","-10,5677","-12,3307","-11,8722","-11,0911","-15,4745","-12,0041","-13,229","-14,6778","-17,1172","-17,9587"
"-0,150579","-10,4477","-12,2194","-11,734","-10,9834","-15,3467","-11,868","-13,1341","-14,512","-16,9732","-17,7995"
"-0,148582","-10,2893","-12,1031","-11,5464","-10,8164","-15,1652","-11,6911","-13,033","-14,3028","-16,7785","-17,617"
"-0,146586","-10,173","-11,9632","-11,4268","-10,6655","-15,0724","-11,5773","-12,9279","-14,1853","-16,6806","-17,5005"
"-0,144589","-10,0196","-11,7752","-11,3009","-10,5393","-14,9343","-11,4436","-12,7691","-14,0257","-16,553","-17,3587"
"-0,142592","-9,82162","-11,5884","-11,1607","-10,3438","-14,7343","-11,2358","-12,6309","-13,7956","-16,3416","-17,1489"
"-0,140596","-9,69791","-11,4684","-11,0267","-10,2213","-14,6147","-11,0886","-12,5382","-13,6199","-16,1935","-16,9819"
"-0,1386","-9,57419","-11,378","-10,87","-10,0889","-14,4559","-10,929","-12,4578","-13,4269","-16,0228","-16,8247"
"-0,136603","-9,43689","-11,2184","-10,7339","-9,90703","-14,3404","-10,7879","-12,3382","-13,2784","-15,8929","-16,6818"
"-0,134607","-9,28966","-11,0353","-10,6246","-9,78203","-14,2126","-10,6568","-12,1773","-13,1189","-15,7678","-16,5499"
"-0,13261","-9,04716","-10,7891","-10,4328","-9,53088","-13,9609","-10,397","-11,9897","-12,8293","-15,5009","-16,2797"
"-0,130614","-8,97169","-10,7186","-10,3586","-9,46412","-13,8909","-10,3079","-11,9422","-12,7007","-15,4028","-16,1617"
"-0,128617","-8,82818","-10,5961","-10,1813","-9,30574","-13,7115","-10,126","-11,8391","-12,4891","-15,2087","-15,9802"
"-0,126621","-8,68095","-10,4279","-10,037","-9,11642","-13,5816","-9,9602","-11,4887","-12,3233","-15,0632","-15,8184"
"-0,124625","-8,51635","-10,2101","-9,68426","-8,96676","-13,4372","-9,80926","-11,2278","-12,1464","-14,9225","-15,6493"
"-0,122628","-8,31595","-10,006","-9,46277","-8,75892","-13,233","-9,58905","-11,1194","-11,9002","-14,7074","-15,4132"
"-0,120632","-8,18358","-9,86743","-9,3848","-8,62649","-13,1093","-9,42324","-11,0421","-11,6985","-14,5499","-15,2245"
"-0,118635","-8,04993","-9,74986","-9,25101","-8,48054","-12,9341","-9,24878","-10,9563","-11,4832","-14,36","-15,0343"
"-0,116639","-7,88791","-9,56061","-9,09858","-8,2677","-12,7815","-9,06074","-10,8394","-11,2866","-14,1901","-14,8363"
"-0,114642","-7,76291","-9,38493","-9,02209","-8,16007","-12,6805","-8,94446","-10,7095","-11,1455","-14,0866","-14,7028"
"-0,112646","-7,5402","-9,15723","-8,865","-7,92007","-12,4557","-8,69703","-10,5315","-10,8634","-13,8375","-14,4378"
"-0,110649","-7,39797","-8,99399","-8,74189","-7,77155","-12,3134","-8,51764","-10,4167","-10,6481","-13,6572","-14,2265"
"-0,108653","-7,25939","-8,86527","-8,58122","-7,61074","-12,1299","-8,32588","-10,2997","-10,413","-13,4527","-14,0187"
"-0,106656","-7,13939","-8,72176","-8,46682","-7,43257","-12,0124","-8,16378","-10,2191","-10,2448","-13,3178","-13,8595"
"-0,10466","-6,97236","-8,49041","-8,3375","-7,26182","-11,8742","-8,00541","-10,0401","-10,053","-13,1655","-13,6718"
"-0,102664","-6,77068","-8,27764","-8,20182","-6,89324","-11,6701","-7,77655","-9,87601","-9,79446","-12,9384","-13,4212"
"-0,100667","-6,58881","-8,06358","-8,04595","-6,62574","-11,4803","-7,5402","-9,71743","-9,52473","-12,7038","-13,1465"
