,Potencial (V),Paciente A (1),Paciente A (2),Paciente A (3),Paciente B (1),Paciente B (2),Paciente B (3),Paciente C (1),Paciente C (2),Paciente C (3),Paciente D (1),Paciente D (2),Paciente E (1),Paciente E(2),Paciente E (3),Paciente F (1),Paciente F (2),Paciente F (3),Paciente G (1),Paciente G (2),Paciente G (3),Paciente H (1),Paciente H (2),Paciente H (3),Paciente I (1),Paciente I (2),Paciente I (3)
119,-0.262379616,-14.53421116,-15.01030922,-12.75806427,-15.9533,-12.282,-12.6848,-11.34812832,-8.921957016,-9.443807602,-11.989,-13.1334,-13.4814,-12.0256,-14.1131,-7.415735722,-10.27828455,-10.89704037,-15.10961056,-16.32838249,-10.38453579,-18.47215891,-20.26593685,-17.44713783,-15.4721,-13.2158,-13.8783
120,-0.260383189,-14.32363987,-14.78140354,-12.52002716,-15.6603,-12.0256,-12.4285,-11.08262539,-8.638143539,-9.205770493,-11.7693,-12.9137,-13.2433,-11.7693,-13.875,-7.296991348,-10.15328169,-10.80954075,-14.90335464,-16.15962982,-10.22828817,-18.29715967,-20.10343075,-17.29713678,-15.2971,-13.0721,-13.8033
121,-0.258386761,-14.28701878,-14.73562717,-12.48340607,-15.6054,-11.9982,-12.4102,-11.03684902,-8.53741169,-9.178304672,-11.7235,-12.8862,-13.1884,-11.6869,-13.8109,-7.078230381,-10.00328064,-10.63454151,-14.67834711,-15.99087715,-10.0782752,-18.12214851,-19.9534297,-17.07214117,-15.1096,-12.9283,-13.5971
122,-0.256390363,-14.12222385,-14.57083225,-12.30945587,-15.3857,-11.8151,-12.2362,-10.83543301,-8.308529854,-9.004354477,-11.5587,-12.7398,-13.0236,-11.4855,-13.6553,-6.99698925,-9.884524345,-10.54704189,-14.55334425,-15.81586599,-9.909522533,-18.00340414,-19.80967522,-16.9721365,-15.0284,-12.7908,-13.4471
123,-0.254393935,-14.02151585,-14.46096897,-12.19043732,-15.2667,-11.6777,-12.1264,-10.71641445,-8.162045479,-8.921957016,-11.4488,-12.639,-12.9229,-11.3573,-13.5363,-6.871986389,-9.722030163,-10.3595376,-14.36585188,-15.65961838,-9.772026539,-17.86589622,-19.63467598,-16.82838202,-14.8596,-12.6408,-13.3033
124,-0.252397507,-13.89334202,-14.32363987,-12.05310822,-15.0927,-11.5404,-11.989,-10.5607748,-6.975052357,-8.775472641,-11.3115,-12.52,-12.7855,-11.1925,-13.3898,-6.703233719,-9.597027302,-10.22202969,-14.19084072,-15.54710865,-9.603273869,-17.70964861,-19.51591969,-16.6721344,-14.6971,-12.5096,-13.1908
125,-0.25040108,-13.71939182,-14.1405344,-11.87915802,-14.8638,-11.339,-11.7968,-10.35020351,-6.264591217,-8.574032784,-11.1192,-12.3552,-12.5933,-10.9728,-13.1975,-6.534481049,-9.440767765,-10.06578207,-14.02208805,-15.36586285,-9.447026253,-17.55964756,-19.30341721,-16.55337811,-14.5346,-12.3533,-13.0033
126,-0.248404279,-13.63699436,-14.04898167,-11.77845001,-14.7448,-11.2291,-11.696,-10.24034023,-6.339666843,-8.491635323,-11.0277,-12.282,-12.5017,-10.8446,-13.0968,-6.434476376,-9.322023392,-9.965777397,-13.82833719,-15.19086361,-9.290766716,-17.47839451,-19.20967102,-16.37837887,-14.4284,-12.2346,-12.8971
127,-0.246407852,-13.49966526,-13.90249729,-11.62278652,-14.5617,-11.0826,-11.5495,-10.07552147,-6.270999908,-8.354306221,-10.8904,-12.1538,-12.3552,-10.6798,-12.9503,-6.290721893,-9.203267097,-9.803271294,-13.65958452,-15.04086256,-9.147012234,-17.27838516,-19.05966997,-16.26588106,-14.2783,-12.0471,-12.7408
128,-0.244411439,-13.36233616,-13.75601292,-11.47630215,-14.3969,-10.927,-11.4122,-9.910726547,-6.142823696,-6.858778,-10.7439,-12.0165,-12.1996,-10.4967,-12.813,-6.165719032,-9.07201767,-9.690773487,-13.54082823,-14.87835646,-9.003269672,-17.19088554,-18.87216568,-16.14712477,-14.1158,-11.9533,-12.6283
129,-0.242415011,-13.2799387,-13.67361546,-11.39390469,-14.287,-10.8446,-11.339,-9.819173813,-6.063172817,-6.37537241,-10.6432,-11.9432,-12.1172,-10.3777,-12.7123,-6.053221226,-8.915758133,-9.534525871,-13.32207918,-14.72209692,-8.853256702,-16.98464155,-18.72216463,-15.94086885,-13.9408,-11.7596,-12.4346
130,-0.240418598,-13.11511993,-13.49050999,-11.19248867,-14.0673,-10.634,-11.1467,-9.608602524,-5.855343342,-6.490731239,-10.4692,-11.7785,-11.9524,-10.1763,-12.5292,-5.95946312,-8.822011948,-9.447026253,-13.20958138,-14.59710598,-8.709514141,-16.9033885,-18.59716177,-15.8596158,-13.8283,-11.6658,-12.3346
131,-0.23842217,-12.99610138,-13.37149143,-11.08262539,-13.93,-10.515,-11.0185,-9.480428696,-5.699701309,-6.521859169,-10.341,-11.6777,-11.8059,-10.0206,-12.3919,-5.796968937,-8.709514141,-9.30327177,-13.02832365,-14.42209482,-8.578252792,-16.72213078,-18.43465567,-15.70336819,-13.6846,-11.5158,-12.1783
132,-0.236425757,-12.849617,-13.21582794,-10.92698574,-13.7469,-10.341,-10.8629,-9.3064785,-5.510184765,-6.452276707,-10.1854,-11.5312,-11.6411,-9.83748,-12.2362,-5.665707588,-8.58451128,-9.209513664,-12.84081936,-14.30959702,-8.465754986,-16.59712791,-18.29090118,-15.5596137,-13.5721,-11.4096,-12.0471
133,-0.23442933,-12.77637482,-13.13343048,-10.84458828,-13.6461,-10.277,-10.808,-9.233236313,-5.405814648,-6.425726414,-10.0847,-11.4671,-11.5679,-9.72762,-12.1538,-5.559456348,-8.440756798,-9.034514427,-12.70956993,-14.11584616,-8.284509182,-16.47838354,-18.13465357,-15.3971076,-13.3783,-11.2283,-11.8908
134,-0.232432917,-12.66651154,-13.0235672,-10.72556973,-13.518,-10.1579,-10.6981,-9.095907211,-5.259327888,-6.337835789,-9.96566,-11.3664,-11.4488,-9.59029,-12.0348,-5.484461784,-8.328258991,-8.890759945,-12.52206564,-14.00333643,-8.1407547,-16.390872,-18.01589727,-15.28460979,-13.2908,-11.1158,-11.7846
135,-0.230436504,-12.50171661,-12.849617,-10.55161953,-13.3257,-9.98397,-10.5242,-8.912801743,-5.046920776,-6.159303188,-9.80086,-11.2108,-11.284,-9.37972,-11.8608,-5.309462547,-8.196997643,-8.772015572,-12.37206459,-13.86584044,-7.997000217,-16.18462801,-17.87215471,-15.11585712,-13.1721,-11.022,-11.6658
136,-0.228440076,-12.37354279,-12.72144318,-10.41429043,-13.1517,-9.82833,-10.3777,-8.748006821,-4.848248959,-6.016480923,-9.65438,-11.0735,-11.1192,-9.20577,-11.696,-5.228209496,-8.084499836,-8.69076252,-12.1845603,-13.68458271,-7.903242111,-16.12212658,-17.7346468,-15.03460407,-13.0033,-10.9345,-11.5471
137,-0.226443663,-12.29114532,-12.62073517,-10.32273769,-13.0602,-9.74593,-10.3136,-8.66560936,-4.745707512,-5.944151878,-9.55367,-10.9911,-11.0277,-9.09591,-11.6045,-5.046951771,-7.915747166,-8.528256416,-12.0033145,-13.49707842,-7.734489441,-15.95962048,-17.5971508,-14.84709978,-12.8596,-10.7283,-11.4158
138,-0.224447235,-12.19959259,-12.52002716,-10.22202969,-12.9686,-9.65438,-10.2129,-8.574032784,-4.623942375,-5.856258869,-9.46212,-10.9087,-10.927,-8.96773,-11.5129,-4.965698719,-7.853245735,-8.422005177,-11.92206144,-13.39082718,-7.596993446,-15.82837105,-17.52839088,-14.7533536,-12.7721,-10.6658,-11.3096
139,-0.22245042,-12.07141876,-12.40100861,-10.09383202,-12.8222,-9.52621,-10.0847,-8.436703682,-4.464638233,-5.725338459,-9.32479,-10.7988,-10.7988,-8.81209,-11.3847,-4.846954346,-7.703244686,-8.272004128,-11.70330048,-13.25333118,-7.459485531,-15.747118,-17.35339165,-14.57835436,-12.6408,-10.5345,-11.172
140,-0.220453992,-11.93408966,-12.25452423,-9.947347641,-12.6574,-9.36141,-9.93819,-7.092239857,-4.268710613,-5.560541153,-9.15084,-10.6432,-10.6432,-8.63814,-11.2016,-4.746937752,-7.628238201,-8.171999454,-11.57205105,-13.10333014,-7.346987724,-15.57836533,-17.2721386,-14.47210312,-12.5408,-10.4033,-11.0096
141,-0.21845758,-11.83338165,-12.13550568,-9.83748436,-12.5475,-9.2607,-9.85579,-6.50080204,-4.139618874,-5.437858105,-9.04098,-10.5516,-10.5333,-8.50079,-11.0918,-4.578185081,-7.509493828,-8.059501648,-11.37830019,-12.97208071,-7.16574192,-15.45960903,-17.0846343,-14.32834864,-12.3658,-10.247,-10.872
142,-0.216461167,-11.68687344,-12.00733185,-9.672689438,-12.3919,-9.11422,-9.70931,-6.620736122,-3.957426548,-5.303273201,-8.89449,-10.4326,-10.3685,-8.32684,-10.9453,-4.496955872,-7.409489155,-7.909500599,-11.24705076,-12.82832623,-7.071983814,-15.38461447,-16.98464155,-14.20959234,-12.2658,-10.1658,-10.772
143,-0.214464739,-11.65940762,-11.97071075,-9.654378891,-12.3827,-9.11422,-9.70931,-6.762645245,-3.921720982,-5.291371346,-8.85787,-10.3868,-10.3227,-7.39437,-10.9087,-4.346942902,-7.246983051,-7.815742493,-11.07205153,-12.72832155,-6.93448782,-15.2158618,-16.86588526,-14.07834291,-12.1471,-10.0158,-10.6658
144,-0.212468326,-11.52207851,-11.81507111,-9.498739243,-12.1996,-8.94027,-9.54452,-6.67109251,-3.729457855,-5.102770329,-8.67476,-10.2312,-10.1763,-6.80385,-10.7439,-4.240679741,-7.171988487,-7.671999931,-10.95329523,-12.60331869,-6.84697628,-15.10961056,-16.70963764,-13.99708986,-11.9971,-9.91578,-10.5283
145,-0.210471898,-11.42137051,-11.7143631,-9.388875961,-12.1172,-8.85787,-9.46212,-6.637215614,-3.627831936,-5.018539429,-8.57403,-10.1579,-10.0755,-6.84688,-10.6432,-4.029123783,-7.021987438,-7.540738583,-10.79078913,-12.39706278,-6.715726852,-14.97836113,-16.59712791,-13.79709244,-11.8533,-9.78453,-10.3908
